shipment_id_1,drop_off_point,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,shipping_time
000720,1,0,88.61,355,0.75,1,3,5.00741
000725,1,0,85.65,105,0.9,0,1,21.41215
000736,1,0,86.22,100,0.75,1,3,5.33692
000738,1,0,94.43,1071,1.05,1,2,5.14792
000739,1,0,94.24,2007,0.75,1,3,5.03067
001718,1,0,87.84,228.7,0.75,1,3,5.18611
001720,1,0,89,119,0.75,1,3,5.2206
001736,1,0,86.7,65,0.9,0,1,11.01481
001737,1,0,92.31,114,0.75,1,3,5.33322
001738,1,0,94.65,1071,0.75,1,3,5.26968
001739,1,0,94.83,1005,1.05,1,2,5.06424
002728,1,0,83.56,400,0.9,0,1,21.26759
002737,1,0,92.1871,168,0.9,0,1,30.43912
003706,1,0,91.47,405,0.9,0,1,9.45833
003718,1,0,87.9,232.5,0.9,0,1,19.97303
003720,1,0,88.84,235,1.05,1,2,5.13484
003736,1,0,86.84,100,0.75,1,3,5.04653
004718,1,0,87.9,177,0.9,0,1,19.97986
004723,1,0,87.92,295,0.9,0,1,20.86644
004736,1,0,86.79,100,1.05,1,2,5.05093
004739,1,0,94.09,1005,0.75,1,3,5.21968
005734,1,0,87.65,200,0.9,0,1,32.55486
005736,1,0,86.42,100,0.75,1,3,5.0037
005737,1,0,93,168,0.75,1,3,5.23125
005738,1,0,94.66,380,1.05,1,2,5.23368
006706,1,0,91.76,1096,0.75,1,3,5.28426
006736,1,0,86.7,355,0.9,0,1,21.22685
006739,1,0,94.75,60,1.05,1,2,5.39155
007706,1,0,91.14302,115,0.75,1,3,5.07153
007718,1,0,87.55,228.7,0.75,1,3,5.07674
007734,1,0,87.46,350,1.05,1,2,5.34722
007738,1,0,94.2,280,0.9,0,1,20.54525
007739,1,0,94.99,46.5,1.05,1,2,5.28958
008717,1,0,89.73,1456,0.75,1,3,5.02396
008734,1,0,87.65,505,0.9,0,1,34.33333
008736,1,0,86.7,75,0.9,0,1,21.4765
008738,1,0,94.2,755,0.9,0,1,10.61227
009710,1,0,89.8,1698,0.9,0,1,23.66007
009717,1,0,89.72,1006,0.75,1,3,5.40799
009734,1,0,87.31,92,0.75,1,3,5.28252
009736,1,0,86.9125,110,0.9,0,1,21.48461
009738,1,0,94.4587,60,1.05,1,2,5.28426
009739,1,0,94.61,269.5,0.75,1,3,5.00903
010710,1,0,89.8,300,0.9,0,1,13.78877
010722,1,0,87.95,500,0.75,1,3,5.35312
010734,1,0,87.82,29,1.05,1,2,5.18044
010735,1,0,87.66,120,0.9,0,1,9.11748
010736,1,0,86.96,65,0.75,1,3,5.30093
011736,1,0,86.95,355,0.9,0,1,31.59039
011737,1,0,92.75,205,0.75,1,3,5.10301
011738,1,0,94.22,300,0.75,1,3,5.37141
012703,1,0,92.94,600,0.75,1,3,5.00799
012726,1,0,85.85,397,0.9,0,1,11.73171
012736,1,0,86.95625,69,0.75,1,3,5.1515
012738,1,0,94.49,300,0.75,1,3,5.24306
012739,1,0,94.65,103.5,0.75,1,3,5.214
013703,1,0,92.88,1006,1.05,1,2,5.3015
013736,1,0,86.95,121,0.9,0,1,12.00787
013739,1,0,94.59,153.5,1.05,1,2,5.41852
014719,1,0,87.25,205,0.9,0,1,19.7691
014730,1,0,85.75,10,0.75,1,3,5.18507
014736,1,0,86.95,1206,0.9,0,1,32.05625
014737,1,0,92.84,217.4,0.75,1,3,5.17616
